LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,datetime,occupancy,radius_miles,geohash,delimited
-122.4277775,37.7796098,1016,Buchanan Street,,,,,94115,,2025-06-29 00:00:05.285394,6.0,2.9769050685522647,9q8yyjdf4j8w,"37.7796098,-122.4277775"
-122.4277775,37.7796098,1014,Buchanan Street,,,,,94115,,2025-06-29 00:00:05.615731,1.0,2.300296273822857,9q8yyjdf4j8w,"37.7796098,-122.4277775"
-122.4277775,37.7796098,1012,Buchanan Street,,,,,94115,,2025-06-29 00:00:05.946068,3.0,2.340174728996167,9q8yyjdf4j8w,"37.7796098,-122.4277775"
-122.4277775,37.7796098,1010,Buchanan Street,,,,,94115,,2025-06-29 00:00:06.276405,3.0,1.034566085612477,9q8yyjdf4j8w,"37.7796098,-122.4277775"
-122.4275586,37.7786898,944,Buchanan Street,,,,,94102,,2025-06-29 00:00:06.606742,5.0,2.1140779572863444,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,942,Buchanan Street,,,,,94102,,2025-06-29 00:00:06.937079,1.0,1.0007752929421632,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,940,Buchanan Street,,,,,94102,,2025-06-29 00:00:07.267416,2.0,2.5767244179901683,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,938,Buchanan Street,,,,,94102,,2025-06-29 00:00:07.597753,1.0,1.3867619450222077,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,936,Buchanan Street,,,,,94102,,2025-06-29 00:00:07.928091,2.0,2.974835719872149,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,934,Buchanan Street,,,,,94102,,2025-06-29 00:00:08.258428,6.0,2.8307770269648778,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,932,Buchanan Street,,,,,94102,,2025-06-29 00:00:08.588765,3.0,1.0498948455291532,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,930,Buchanan Street,,,,,94102,,2025-06-29 00:00:08.919102,3.0,1.3584726272124934,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,928,Buchanan Street,,,,,94102,,2025-06-29 00:00:09.249439,4.0,2.064571769715258,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,926,Buchanan Street,,,,,94102,,2025-06-29 00:00:09.579776,4.0,1.1712120774617045,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,924,Buchanan Street,,,,,94102,,2025-06-29 00:00:09.910113,1.0,1.7603548202186918,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,922,Buchanan Street,,,,,94102,,2025-06-29 00:00:10.240450,6.0,2.6353552066731787,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,920,Buchanan Street,,,,,94102,,2025-06-29 00:00:10.570787,5.0,1.8883034226805246,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,918,Buchanan Street,,,,,94102,,2025-06-29 00:00:10.901124,5.0,2.3632275978761905,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,984,Buchanan Street,,,,,94102,,2025-06-29 00:00:11.231462,4.0,1.9559629962918763,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,982,Buchanan Street,,,,,94102,,2025-06-29 00:00:11.561799,6.0,1.8910014255472793,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,980,Buchanan Street,,,,,94102,,2025-06-29 00:00:11.892136,5.0,1.267677629678195,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,978,Buchanan Street,,,,,94102,,2025-06-29 00:00:12.222473,2.0,1.6013979261730633,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,976,Buchanan Street,,,,,94102,,2025-06-29 00:00:12.552810,2.0,1.316355689095496,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,974,Buchanan Street,,,,,94102,,2025-06-29 00:00:12.883147,4.0,2.150853307186048,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,972,Buchanan Street,,,,,94102,,2025-06-29 00:00:13.213484,4.0,1.0851497559246766,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,970,Buchanan Street,,,,,94102,,2025-06-29 00:00:13.543821,3.0,1.9446179133823418,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,968,Buchanan Street,,,,,94102,,2025-06-29 00:00:13.874158,1.0,2.4002582930857836,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,966,Buchanan Street,,,,,94102,,2025-06-29 00:00:14.204495,2.0,2.3381389731393853,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,964,Buchanan Street,,,,,94102,,2025-06-29 00:00:14.534833,4.0,1.2133920019985927,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,962,Buchanan Street,,,,,94102,,2025-06-29 00:00:14.865170,5.0,2.5773512128225766,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,960,Buchanan Street,,,,,94102,,2025-06-29 00:00:15.195507,6.0,1.4614267040396356,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,958,Buchanan Street,,,,,94102,,2025-06-29 00:00:15.525844,5.0,2.1248955047485274,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,956,Buchanan Street,,,,,94102,,2025-06-29 00:00:15.856181,1.0,2.7851930031199394,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,954,Buchanan Street,,,,,94102,,2025-06-29 00:00:16.186518,5.0,2.6209847713783887,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,952,Buchanan Street,,,,,94102,,2025-06-29 00:00:16.516855,4.0,2.851735129226645,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,950,Buchanan Street,,,,,94102,,2025-06-29 00:00:16.847192,4.0,1.0152440511861733,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4275586,37.7786898,916,Buchanan Street,,,,,94102,,2025-06-29 00:00:17.177529,4.0,1.9298855510163195,9q8yyj6uz45y,"37.7786898,-122.4275586"
-122.4274323,37.7777194,840,Buchanan Street,,,,,94102,,2025-06-29 00:00:17.507867,4.0,1.939822428825389,9q8yyj5p4j3f,"37.7777194,-122.4274323"
-122.4274323,37.7777194,838,Buchanan Street,,,,,94102,,2025-06-29 00:00:17.838204,6.0,1.7817942397182103,9q8yyj5p4j3f,"37.7777194,-122.4274323"
-122.4274323,37.7777194,836,Buchanan Street,,,,,94102,,2025-06-29 00:00:18.168541,2.0,2.9867461572685876,9q8yyj5p4j3f,"37.7777194,-122.4274323"
-122.4274323,37.7777194,834,Buchanan Street,,,,,94102,,2025-06-29 00:00:18.498878,5.0,2.9904024716987543,9q8yyj5p4j3f,"37.7777194,-122.4274323"
-122.4274323,37.7777194,832,Buchanan Street,,,,,94102,,2025-06-29 00:00:18.829215,6.0,2.8873309315163658,9q8yyj5p4j3f,"37.7777194,-122.4274323"
-122.4274323,37.7777194,830,Buchanan Street,,,,,94102,,2025-06-29 00:00:19.159552,6.0,1.5118197039898285,9q8yyj5p4j3f,"37.7777194,-122.4274323"
-122.4274323,37.7777194,828,Buchanan Street,,,,,94102,,2025-06-29 00:00:19.489889,3.0,1.2492042062422664,9q8yyj5p4j3f,"37.7777194,-122.4274323"
-122.4274323,37.7777194,826,Buchanan Street,,,,,94102,,2025-06-29 00:00:19.820226,1.0,1.264453868772204,9q8yyj5p4j3f,"37.7777194,-122.4274323"
-122.4274323,37.7777194,824,Buchanan Street,,,,,94102,,2025-06-29 00:00:20.150563,4.0,1.801358797454711,9q8yyj5p4j3f,"37.7777194,-122.4274323"
-122.4274323,37.7777194,822,Buchanan Street,,,,,94102,,2025-06-29 00:00:20.480900,6.0,2.214303591335905,9q8yyj5p4j3f,"37.7777194,-122.4274323"
-122.4134558,37.7484727,3095,Folsom Street,,,,,94110,,2025-06-29 00:00:20.811238,4.0,2.573713658699547,9q8ywrvhz9rd,"37.7484727,-122.4134558"
-122.4134693,37.7485575,3085,Folsom Street,,,,,94110,,2025-06-29 00:00:21.141575,4.0,2.573291989334467,9q8ywrvjr3js,"37.7485575,-122.4134693"
-122.4134719,37.7486508,3055,Folsom Street,,,,,94110,,2025-06-29 00:00:21.471912,6.0,1.1721452021337224,9q8ywrvjz6e9,"37.7486508,-122.4134719"
-122.4134961,37.7487166,3051,Folsom Street,,,,,94110,,2025-06-29 00:00:21.802249,4.0,1.9618178848610166,9q8ywrvnnyc9,"37.7487166,-122.4134961"
-122.41395,37.7486402,3080,Folsom Street,,,,,94110,,2025-06-29 00:00:22.132586,5.0,1.0611181633593347,9q8ywruvu0x1,"37.7486402,-122.41395"
-122.4139875,37.7487919,3060,Folsom Street,,,,,94110,,2025-06-29 00:00:22.462923,4.0,1.0336283887200117,9q8ywruyekg4,"37.7487919,-122.4139875"
-122.4135414,37.7489449,3049,Folsom Street,,,,,94110,,2025-06-29 00:00:22.793260,6.0,2.7605404457714635,9q8ywrvpt9rg,"37.7489449,-122.4135414"
-122.413528,37.7490021,3031,Folsom Street,,,,,94110,,2025-06-29 00:00:23.123597,6.0,1.0916307859718588,9q8ywrvpyh1b,"37.7490021,-122.413528"
-122.4135253,37.7491167,3025,Folsom Street,,,,,94110,,2025-06-29 00:00:23.453934,6.0,2.0716618641645734,9q8yy2j0w17u,"37.7491167,-122.4135253"
-122.4135145,37.749193,3001,Folsom Street,,,,,94110,,2025-06-29 00:00:23.784272,2.0,1.8629457755636794,9q8yy2j0yreg,"37.749193,-122.4135145"
-122.414019,37.7491316,3000,Folsom Street,,,,,94110,,2025-06-29 00:00:24.114609,3.0,2.664575290103301,9q8yy2hbds5t,"37.7491316,-122.414019"
-122.4117365,37.7486445,3082,Harrison Street,,,,,94110,,2025-06-29 00:00:24.444946,3.0,1.6404641768889747,9q8ywrymzc3e,"37.7486445,-122.4117365"
-122.4117526,37.7487696,3050,Harrison Street,,,,,94110,,2025-06-29 00:00:24.775283,6.0,2.9067678081263715,9q8ywryqx2tt,"37.7487696,-122.4117526"
-122.4117285,37.7485724,3098,Harrison Street,,,,,94110,,2025-06-29 00:00:25.105620,3.0,2.0198307171229564,9q8ywrymrgzt,"37.7485724,-122.4117285"
-122.4117795,37.7490453,3048,Harrison Street,,,,,94110,,2025-06-29 00:00:25.435957,5.0,1.0887863344406652,9q8yy2n2nu1d,"37.7490453,-122.4117795"
-122.4117929,37.749128,3038,Harrison Street,,,,,94110,,2025-06-29 00:00:25.766294,4.0,1.6395012472799673,9q8yy2n2w7rx,"37.749128,-122.4117929"
-122.4112113,37.7487523,3063,Harrison Street,,,,,94110,,2025-06-29 00:00:26.096631,2.0,1.6167588924141925,9q8ywryykj3n,"37.7487523,-122.4112113"
-122.4112113,37.7487523,3061,Harrison Street,,,,,94110,,2025-06-29 00:00:26.426968,3.0,1.0513430271591797,9q8ywryykj3n,"37.7487523,-122.4112113"
-122.4112239,37.7488835,3043,Harrison Street,,,,,94110,,2025-06-29 00:00:26.757305,3.0,2.178518742573354,9q8ywryz5tzv,"37.7488835,-122.4112239"
-122.4112239,37.7488835,3041,Harrison Street,,,,,94110,,2025-06-29 00:00:27.087643,3.0,2.1574917202151114,9q8ywryz5tzv,"37.7488835,-122.4112239"
-122.4112239,37.7488835,3039,Harrison Street,,,,,94110,,2025-06-29 00:00:27.417980,6.0,1.9297609520072205,9q8ywryz5tzv,"37.7488835,-122.4112239"
-122.4112239,37.7488835,3037,Harrison Street,,,,,94110,,2025-06-29 00:00:27.748317,5.0,2.287478588915125,9q8ywryz5tzv,"37.7488835,-122.4112239"
-122.4112113,37.7487523,3059,Harrison Street,,,,,94110,,2025-06-29 00:00:28.078654,1.0,1.6138728969200267,9q8ywryykj3n,"37.7487523,-122.4112113"
-122.411202,37.7486553,3071,Harrison Street,,,,,94110,,2025-06-29 00:00:28.408991,5.0,2.6122565127790276,9q8ywryvu725,"37.7486553,-122.411202"
-122.4113189,37.7485282,3085,Harrison Street,,,,,94110,,2025-06-29 00:00:28.739328,5.0,1.5705137396601103,9q8ywryv1e8v,"37.7485282,-122.4113189"
-122.4117952,37.7491739,3030,Harrison Street,,,,,94110,,2025-06-29 00:00:29.069665,6.0,2.195400900175195,9q8yy2n2ykjc,"37.7491739,-122.4117952"
-122.4118113,37.74928,3000,Harrison Street,,,,,94110,,2025-06-29 00:00:29.400002,1.0,1.1619625069394703,9q8yy2n3qpcf,"37.74928,-122.4118113"
-122.4112377,37.749056,3027,Harrison Street,,,,,94110,,2025-06-29 00:00:29.730339,5.0,1.0301904820038428,9q8yy2nb5qjd,"37.749056,-122.4112377"
-122.4112471,37.7491258,3019,Harrison Street,,,,,94110,,2025-06-29 00:00:30.060677,6.0,1.3251714461792448,9q8yy2nbe5nd,"37.7491258,-122.4112471"
-122.4112404,37.749056,3025,Harrison Street,,,,,94110,,2025-06-29 00:00:30.391014,6.0,1.3872901310004866,9q8yy2nb5q5d,"37.749056,-122.4112404"
-122.4112337,37.7489862,3033,Harrison Street,,,,,94110,,2025-06-29 00:00:30.721351,2.0,2.3710218328905013,9q8ywryzg909,"37.7489862,-122.4112337"
-122.4113098,37.7493286,3005,Harrison Street,,,,,94110,,2025-06-29 00:00:31.051688,3.0,2.098538581286669,9q8yy2ncc8zu,"37.7493286,-122.4113098"
-122.4113098,37.7493286,3003,Harrison Street,,,,,94110,,2025-06-29 00:00:31.382025,6.0,2.323838890088356,9q8yy2ncc8zu,"37.7493286,-122.4113098"
-122.4113098,37.7493286,3001,Harrison Street,,,,,94110,,2025-06-29 00:00:31.712362,4.0,2.9157713920212798,9q8yy2ncc8zu,"37.7493286,-122.4113098"
-122.4112602,37.7492628,3007,Harrison Street,,,,,94110,,2025-06-29 00:00:32.042699,3.0,2.2796183657869076,9q8yy2nc6use,"37.7492628,-122.4112602"
-122.4112536,37.7491943,3015,Harrison Street,,,,,94110,,2025-06-29 00:00:32.373036,5.0,1.404242407122262,9q8yy2nbgpce,"37.7491943,-122.4112536"
-122.412619,37.7488481,3141,Kamille Court,,,,,94110,,2025-06-29 00:00:32.703373,6.0,2.6179173352180976,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3140,Kamille Court,,,,,94110,,2025-06-29 00:00:33.033710,1.0,2.5667808296870622,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3100,Kamille Court,,,,,94110,,2025-06-29 00:00:33.364048,3.0,1.905234736252261,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3188,Kamille Court,,,,,94110,,2025-06-29 00:00:33.694385,3.0,2.338928927859274,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3189,Kamille Court,,,,,94110,,2025-06-29 00:00:34.024722,5.0,2.1747096702339723,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3198,Kamille Court,,,,,94110,,2025-06-29 00:00:34.355059,3.0,1.046330806233476,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3101,Kamille Court,,,,,94110,,2025-06-29 00:00:34.685396,2.0,1.7933704662507899,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3149,Kamille Court,,,,,94110,,2025-06-29 00:00:35.015733,2.0,1.62380206417916,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3108,Kamille Court,,,,,94110,,2025-06-29 00:00:35.346070,2.0,1.9242984057982995,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3111,Kamille Court,,,,,94110,,2025-06-29 00:00:35.676407,5.0,2.106580096769096,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3148,Kamille Court,,,,,94110,,2025-06-29 00:00:36.006744,6.0,2.582740539528751,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3138,Kamille Court,,,,,94110,,2025-06-29 00:00:36.337081,5.0,1.2380241230641797,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3128,Kamille Court,,,,,94110,,2025-06-29 00:00:36.667419,6.0,1.66855801334524,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3168,Kamille Court,,,,,94110,,2025-06-29 00:00:36.997756,6.0,1.5360898726606822,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3151,Kamille Court,,,,,94110,,2025-06-29 00:00:37.328093,6.0,1.956642977916302,9q8ywrvygprd,"37.7488481,-122.412619"
-122.412619,37.7488481,3161,Kamille Court,,,,,94110,,2025-06-29 00:00:37.658430,5.0,2.8073449562614634,9q8ywrvygprd,"37.7488481,-122.412619"
-122.42924,37.7730163,255,Webster Street,,,,,94117,,2025-06-29 00:00:37.988767,2.0,2.414712354795605,9q8yyh3ezbw4,"37.7730163,-122.42924"
-122.4292263,37.7729485,247,Webster Street,,,,,94117,,2025-06-29 00:00:38.319104,6.0,2.7305104831648315,9q8yyh3g27bq,"37.7729485,-122.4292263"
-122.4292536,37.773084,299,Webster Street,,,,,94117,,2025-06-29 00:00:38.649441,2.0,2.1114134648165206,9q8yyh3spt5y,"37.773084,-122.4292536"
-122.429199,37.7728129,239.0A,Webster Street,,,,,94117,,2025-06-29 00:00:38.979778,2.0,1.7511168811741942,9q8yyh3f8fst,"37.7728129,-122.429199"
-122.429199,37.7728129,239,Webster Street,,,,,94117,,2025-06-29 00:00:39.310115,3.0,1.8051624704077147,9q8yyh3f8fst,"37.7728129,-122.429199"
-122.429199,37.7728129,237,Webster Street,,,,,94117,,2025-06-29 00:00:39.640453,4.0,1.5649211853297098,9q8yyh3f8fst,"37.7728129,-122.429199"
-122.4292127,37.7728807,245,Webster Street,,,,,94117,,2025-06-29 00:00:39.970790,5.0,1.5758206589141177,9q8yyh3fbx66,"37.7728807,-122.4292127"
-122.4292127,37.7728807,243,Webster Street,,,,,94117,,2025-06-29 00:00:40.301127,1.0,2.8773878502593715,9q8yyh3fbx66,"37.7728807,-122.4292127"
-122.429199,37.7728129,235,Webster Street,,,,,94117,,2025-06-29 00:00:40.631464,6.0,1.9615491839656425,9q8yyh3f8fst,"37.7728129,-122.429199"
-122.4280333,37.772907,230,Webster Street,,,,,94102,,2025-06-29 00:00:40.961801,6.0,2.8665627767751474,9q8yyh6ehh1y,"37.772907,-122.4280333"
-122.4280333,37.772907,224,Webster Street,,,,,94102,,2025-06-29 00:00:41.292138,6.0,2.7826058162648204,9q8yyh6ehh1y,"37.772907,-122.4280333"
-122.3690793,37.8291248,1080,Avenue M,BLDG 670,,,,94130,,2025-06-29 00:00:41.622475,2.0,2.424814488467858,9q8zpqtd9gcp,"37.8291248,-122.3690793"
-122.4194821,37.7965601,1356,Broadway,,,,,94109,,2025-06-29 00:00:41.952812,1.0,2.9109518348299863,9q8zn28ugm6p,"37.7965601,-122.4194821"
-122.4194039,37.79657,1350,Broadway,,,,,94109,,2025-06-29 00:00:42.283149,1.0,1.6393575115934351,9q8zn28uvpk6,"37.79657,-122.4194039"
-122.4191691,37.7965998,1334,Broadway,,,,,94109,,2025-06-29 00:00:42.613486,6.0,1.9951990085384939,9q8zn29j4sgk,"37.7965998,-122.4191691"
-122.4190509,37.7966143,1324,Broadway,,,,,94109,,2025-06-29 00:00:42.943824,6.0,2.7620863638022,9q8zn29jjred,"37.7966143,-122.4190509"
-122.4189344,37.7966297,1316,Broadway,,,,,94109,,2025-06-29 00:00:43.274161,6.0,1.37527543814735,9q8zn29m246q,"37.7966297,-122.4189344"
-122.4193241,37.7965791,1348,Broadway,,,,,94109,,2025-06-29 00:00:43.604498,5.0,2.0036605966571868,9q8zn28vncpb,"37.7965791,-122.4193241"
-122.4194821,37.7965601,1358,Broadway,,,,,94109,,2025-06-29 00:00:43.934835,3.0,1.6197719647764852,9q8zn28ugm6p,"37.7965601,-122.4194821"
-122.4195577,37.7965517,1366,Broadway,,,,,94109,,2025-06-29 00:00:44.265172,5.0,2.2550947004433,9q8zn28ucect,"37.7965517,-122.4195577"
-122.4194039,37.79657,1354,Broadway,,,,,94109,,2025-06-29 00:00:44.595509,3.0,2.4565503087836675,9q8zn28uvpk6,"37.79657,-122.4194039"
-122.4194039,37.79657,1352,Broadway,,,,,94109,,2025-06-29 00:00:44.925846,4.0,1.2077955138184158,9q8zn28uvpk6,"37.79657,-122.4194039"
-122.4189344,37.7966297,1320,Broadway,,,,,94109,,2025-06-29 00:00:45.256183,2.0,2.54484438693091,9q8zn29m246q,"37.7966297,-122.4189344"
-122.4189344,37.7966297,1318,Broadway,,,,,94109,,2025-06-29 00:00:45.586520,2.0,1.107477701179555,9q8zn29m246q,"37.7966297,-122.4189344"
-122.4193241,37.7965791,1348.0A,Broadway,,,,,94109,,2025-06-29 00:00:45.916858,2.0,2.140880843148743,9q8zn28vncpb,"37.7965791,-122.4193241"
-122.4193241,37.7965791,1346,Broadway,,,,,94109,,2025-06-29 00:00:46.247195,1.0,1.6629250858756892,9q8zn28vncpb,"37.7965791,-122.4193241"
-122.4195577,37.7965517,1364,Broadway,,,,,94109,,2025-06-29 00:00:46.577532,1.0,1.200339989604991,9q8zn28ucect,"37.7965517,-122.4195577"
-122.4197094,37.7964617,1378,Broadway,,,,,94109,,2025-06-29 00:00:46.907869,5.0,2.8141018854911213,9q8zn28sq50s,"37.7964617,-122.4197094"
-122.4197094,37.7964617,1376,Broadway,,,,,94109,,2025-06-29 00:00:47.238206,2.0,2.8058227156214066,9q8zn28sq50s,"37.7964617,-122.4197094"
-122.4198895,37.7963693,1390,Broadway,,,,,94109,,2025-06-29 00:00:47.568543,6.0,2.4758118566337437,9q8zn28eccfm,"37.7963693,-122.4198895"
-122.4197094,37.7964617,1374,Broadway,,,,,94109,,2025-06-29 00:00:47.898880,1.0,1.7345722929801455,9q8zn28sq50s,"37.7964617,-122.4197094"
-122.419622,37.7964771,1368,Broadway,,,,,94109,,2025-06-29 00:00:48.229217,2.0,2.4696136180348685,9q8zn28u2n18,"37.7964771,-122.419622"
-122.4192222,37.7964735,1340,Broadway,,,,,94109,,2025-06-29 00:00:48.559554,6.0,1.8368457305302188,9q8zn29h3m7f,"37.7964735,-122.4192222"
-122.4192222,37.7964735,1340,Broadway,,,,,94109,,2025-06-29 00:00:48.889891,4.0,1.3718653835693917,9q8zn29h3m7f,"37.7964735,-122.4192222"
-122.4192208,37.7964746,1342,Broadway,,,,,94109,,2025-06-29 00:00:49.220229,2.0,1.5342696930880735,9q8zn29h3msc,"37.7964746,-122.4192208"
-122.4192208,37.7964746,1342,Broadway,,,,,94109,,2025-06-29 00:00:49.550566,6.0,1.909933239242163,9q8zn29h3msc,"37.7964746,-122.4192208"
-122.419622,37.7964771,1370,Broadway,,,,,94109,,2025-06-29 00:00:49.880903,2.0,2.267520638112642,9q8zn28u2n18,"37.7964771,-122.419622"
-122.419622,37.7964771,1372,Broadway,,,,,94109,,2025-06-29 00:00:50.211240,6.0,2.8412138610529816,9q8zn28u2n18,"37.7964771,-122.419622"
-122.4250751,37.805799,3250,Van Ness Avenue,,,,,94109,,2025-06-29 00:00:50.541577,4.0,2.7682146343073106,9q8zn4kf8zxx,"37.805799,-122.4250751"
-122.3680513,37.8109768,60,Yerba Buena Road,,,,,94130,,2025-06-29 00:00:50.871914,3.0,2.247895874941774,9q8zp7q2cszw,"37.8109768,-122.3680513"
-122.4240022,37.7726917,59,Octavia Street,,,,,94102,,2025-06-29 00:00:51.202251,3.0,2.4815355896578675,9q8yyhm9cupd,"37.7726917,-122.4240022"
-122.4240022,37.7726917,57,Octavia Street,,,,,94102,,2025-06-29 00:00:51.532588,6.0,2.673863350117432,9q8yyhm9cupd,"37.7726917,-122.4240022"
-122.4240022,37.7726917,55,Octavia Street,,,,,94102,,2025-06-29 00:00:51.862925,4.0,1.241636213357409,9q8yyhm9cupd,"37.7726917,-122.4240022"
-122.4240022,37.7726917,53,Octavia Street,,,,,94102,,2025-06-29 00:00:52.193262,5.0,1.0542757811889976,9q8yyhm9cupd,"37.7726917,-122.4240022"
-122.4240022,37.7726917,51,Octavia Street,,,,,94102,,2025-06-29 00:00:52.523600,4.0,2.673733926053491,9q8yyhm9cupd,"37.7726917,-122.4240022"
-122.4240022,37.7726917,49,Octavia Street,,,,,94102,,2025-06-29 00:00:52.853937,2.0,2.0044935683830376,9q8yyhm9cupd,"37.7726917,-122.4240022"
